iter	Logloss
217	0.3647384954
218	0.3640638666
219	0.3639637945
220	0.363256709
221	0.3625669805
222	0.3620532365
223	0.3613379495
224	0.3607374529
225	0.360311288
226	0.3597192792
227	0.3589963628
228	0.3584390677
229	0.3580593148
230	0.3575721147
231	0.3570280121
232	0.3561943106
233	0.3556653714
234	0.3547398947
235	0.3541686124
236	0.3536629111
237	0.3530091042
238	0.3522316695
239	0.3516699875
240	0.3512139725
241	0.3510974972
242	0.3506372543
243	0.3501187419
244	0.349508359
245	0.3489394926
246	0.3482314218
247	0.3473928247
248	0.3467049399
249	0.3461876038
250	0.3455707041
251	0.3450840444
252	0.3445611451
253	0.343726935
254	0.3431586409
255	0.3422948669
256	0.3416015779
257	0.3411283015
258	0.3405869963
259	0.3401951636
260	0.3397493529
261	0.3392857086
262	0.3386392132
263	0.3381474355
264	0.3376945359
265	0.3368831822
266	0.3363836479
267	0.3356577115
268	0.335177664
269	0.3346833114
270	0.334026421
271	0.3334942075
272	0.3329363084
273	0.3324738403
274	0.3319920443
275	0.331625484
276	0.331121086
277	0.3306492718
278	0.3299382763
279	0.3293696961
280	0.3288589085
281	0.3285213398
282	0.3278982412
283	0.3274496014
284	0.3267300546
285	0.3260570153
286	0.3255894291
287	0.3255784301
288	0.3251234006
289	0.3246092116
290	0.3241045275
291	0.3235899252
292	0.3231846457
293	0.3228913274
294	0.3226340263
295	0.3222534151
296	0.3218828493
297	0.3215161936
298	0.3209644616
299	0.3205608987
300	0.3200381266
301	0.3195547412
302	0.3191496524
303	0.3187655763
304	0.3181714376
305	0.3176124259
306	0.3168477704
307	0.3164095891
308	0.31598797
309	0.3155031541
310	0.3149455093
311	0.3146497115
312	0.3141526886
313	0.3138457964
314	0.3132638012
315	0.3129189528
316	0.312424473
317	0.3122577391
318	0.3118760789
319	0.3114225117
320	0.3108209344
321	0.3105667168
322	0.3102596656
323	0.3097736417
324	0.3092993163
325	0.3086980568
326	0.3081414929
327	0.307785264
328	0.3074709967
329	0.3071199812
330	0.3068064133
331	0.3062158986
332	0.3058854189
333	0.3054224421
334	0.3048342798
335	0.3043332197
336	0.3040168543
337	0.3036386909
338	0.30317635
339	0.3029055702
340	0.3025084923
341	0.302467834
342	0.3020981901
343	0.3016002453
344	0.3010677139
345	0.3004728123
346	0.3001092719
347	0.2997959901
348	0.2997645507
349	0.2995016547
350	0.2991905027
351	0.2986571448
352	0.2982776145
353	0.2978939516
354	0.2974678184
355	0.2971996454
356	0.2968682756
357	0.2964413795
358	0.2961654499
359	0.2958986438
360	0.2956189631
361	0.2951795421
362	0.2949066643
363	0.2947088406
364	0.2944408583
365	0.2941274493
366	0.2937043997
367	0.293079807
368	0.2926458537
369	0.2923141343
370	0.2918591683
371	0.2911242674
372	0.2903693394
373	0.2899831651
374	0.2895954332
375	0.2891702537
376	0.2888275988
377	0.2885936308
378	0.2881211173
379	0.2879103872
380	0.287574408
381	0.287081772
382	0.2866391403
383	0.2859654652
384	0.2857191631
385	0.2856952259
386	0.2853145511
387	0.2851275357
388	0.2847833549
389	0.2843252419
390	0.2839399895
391	0.283556422
392	0.2830885497
393	0.2827320983
394	0.28228562
395	0.2820085461
396	0.2817605909
397	0.2816316542
398	0.2813972095
399	0.2810462258
400	0.2807799283
401	0.2803249942
402	0.2801232922
403	0.2798411955
404	0.2794513337
405	0.2791841144
406	0.2787790574
407	0.2785061796
408	0.2781981112
409	0.277734149
410	0.2774271614
411	0.2771112411
412	0.2766738864
413	0.2762783661
414	0.2759255387
415	0.2756797452
416	0.2753267906
417	0.2750285768
418	0.274727661
419	0.2742345799
420	0.2741506567
421	0.2738166801
422	0.2732760743
423	0.273052724
424	0.2728342373
425	0.2724695843
426	0.2720561032
427	0.2717458096
428	0.2713259389
429	0.2710348777
430	0.2705594078
431	0.2699639658
432	0.2696988127
433	0.2694671336
434	0.2690461184
435	0.2685288777
436	0.2681604417
437	0.2678875003
438	0.2676595723
439	0.2670902927
440	0.2666763348
441	0.2663050061
442	0.2658214458
443	0.2655572941
444	0.2653937709
445	0.2650388454
446	0.2647660629
447	0.2644744613
448	0.2643203158
449	0.2640043161
450	0.2635980988
451	0.263387623
452	0.2630833216
453	0.2628218084
454	0.2625510923
455	0.2624315652
456	0.2623992038
457	0.2619134184
458	0.2616814691
459	0.2615008592
460	0.2613502423
461	0.2609407984
462	0.2605203714
463	0.2602085519
464	0.2599678765
465	0.2595355762
466	0.259324417
467	0.2589731313
468	0.2587500988
469	0.2584196032
470	0.2580832584
471	0.2575982359
472	0.2572792479
473	0.2568095477
474	0.2566054457
475	0.25620894
476	0.2559307534
477	0.2555357894
478	0.2551618381
479	0.2549306517
480	0.2545347818
481	0.2543840537
482	0.2541958621
483	0.2537524038
484	0.2535829042
485	0.2530889331
486	0.2526191534
487	0.2522692029
488	0.2519560641
489	0.2517878679
490	0.2515103489
491	0.2510318431
492	0.2508295212
493	0.2505013939
494	0.2501808483
495	0.2497639817
496	0.2494650686
497	0.2492452309
498	0.2488944061
499	0.2486123572
